number,title,author,reviewState,submittedAt,reviewDecision
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T23:07:28Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T01:15:39Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T05:35:10Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T06:08:28Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T06:21:34Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T06:26:31Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T06:27:57Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T06:35:59Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T06:46:25Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T07:04:36Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-13T07:12:24Z,
6489,Warn about common option misspellings,cincodenada,APPROVED,2024-07-17T07:23:23Z,APPROVED
6489,Warn about common option misspellings,cincodenada,COMMENTED,2024-08-26T13:52:39Z,APPROVED
6489,Warn about common option misspellings,cincodenada,APPROVED,2024-09-26T19:23:28Z,APPROVED
6480,docs(readme): fix Request Config options code highlight,bernardoduarte,APPROVED,2024-07-07T15:59:50Z,APPROVED
6480,docs(readme): fix Request Config options code highlight,bernardoduarte,APPROVED,2025-01-31T17:02:48Z,APPROVED
6447,"chore(deps): bump braces, gulp and webpack",dependabot,APPROVED,2024-06-13T14:00:15Z,
6413,fix(fetch): enhance fetch API detection;,DigitalBrainJS,COMMENTED,2024-06-17T11:03:20Z,
6413,fix(fetch): enhance fetch API detection;,DigitalBrainJS,APPROVED,2024-06-24T15:32:21Z,
6413,fix(fetch): enhance fetch API detection;,DigitalBrainJS,APPROVED,2024-06-24T15:32:38Z,
6401,fix(fetch): fix headers getting from a stream response;,DigitalBrainJS,COMMENTED,2024-05-18T22:38:10Z,
6383,[Release] v1.7.0-beta.1,github-actions,COMMENTED,2024-05-07T18:34:42Z,
6373,[Release] v1.7.0-beta.0,github-actions,COMMENTED,2024-04-28T19:45:10Z,
6371,feat(adapter): add fetch adapter;,DigitalBrainJS,COMMENTED,2024-04-27T22:32:01Z,
6371,feat(adapter): add fetch adapter;,DigitalBrainJS,COMMENTED,2024-04-27T22:38:07Z,
6362,fix(core/axios): handle un-writable error stack,alexandre-abrioux,COMMENTED,2024-05-03T20:09:24Z,
6349,fix(vulnerability): update follow-redirects to 1.15.6,esezerguven,APPROVED,2024-04-19T08:29:59Z,
6348,fix: change main entry to CJS dist,lukekarrys,APPROVED,2024-04-10T18:18:45Z,
6348,fix: change main entry to CJS dist,lukekarrys,APPROVED,2024-04-11T06:57:37Z,
6348,fix: change main entry to CJS dist,lukekarrys,COMMENTED,2025-01-14T15:51:27Z,
6344,Grammatically improved Security.md doc,JikokuAice,CHANGES_REQUESTED,2024-04-08T11:11:21Z,
6312,removal(documentation): remove SECURITY.md,justindhillon,APPROVED,2025-01-30T19:49:56Z,APPROVED
6300,fix(vulnerability): update follow-redirects to 1.15.6,Creaous,APPROVED,2024-03-15T09:03:50Z,
6300,fix(vulnerability): update follow-redirects to 1.15.6,Creaous,APPROVED,2024-03-15T09:18:07Z,
6273,Corrected the import of EventEmittor,ADITYA-176,APPROVED,2024-03-04T02:47:34Z,
6271,fix: Update CHANGELOG.md for v0.x,TehZarathustra,APPROVED,2024-07-01T08:46:29Z,APPROVED
6271,fix: Update CHANGELOG.md for v0.x,TehZarathustra,APPROVED,2025-01-30T19:40:27Z,APPROVED
6263,backport: custom params serializer support for v0.x,briwa,CHANGES_REQUESTED,2024-03-21T17:25:17Z,
6263,backport: custom params serializer support for v0.x,briwa,COMMENTED,2024-03-22T02:50:14Z,
6263,backport: custom params serializer support for v0.x,briwa,COMMENTED,2024-03-22T03:05:59Z,
6261,fix: wrong variable name causing runtime error,sean-dickinson,APPROVED,2024-04-09T03:58:20Z,
6235,Fix for high security vulnerability in follow-redirects,osortega,APPROVED,2024-02-14T14:54:01Z,
6224,chore(ci): backported publish action;,DigitalBrainJS,COMMENTED,2024-02-11T20:26:51Z,
6218,fix(types): export CJS types from ESM,remcohaszing,APPROVED,2024-02-16T10:20:10Z,APPROVED
6211,[Release] v0.28.0,DigitalBrainJS,APPROVED,2024-01-31T13:02:38Z,
6211,[Release] v0.28.0,DigitalBrainJS,COMMENTED,2024-01-31T16:02:38Z,
6211,[Release] v0.28.0,DigitalBrainJS,COMMENTED,2024-02-12T18:24:05Z,
6196,docs: Update README.md to point to current axios version in CDN links,mannoeu,APPROVED,2024-02-16T10:17:19Z,APPROVED
6194,docs: update README responseEncoding types,ljkeller,APPROVED,2024-02-16T10:18:10Z,APPROVED
6192,feat: Add config for ignoring absolute URLs (#5902),GethosTheWalrus,COMMENTED,2025-02-12T08:23:24Z,APPROVED
6192,feat: Add config for ignoring absolute URLs (#5902),GethosTheWalrus,COMMENTED,2025-02-12T08:47:25Z,APPROVED
6192,feat: Add config for ignoring absolute URLs (#5902),GethosTheWalrus,COMMENTED,2025-02-12T09:01:10Z,APPROVED
6192,feat: Add config for ignoring absolute URLs (#5902),GethosTheWalrus,APPROVED,2025-02-12T09:06:48Z,APPROVED
6191,Acknowledging the pull request feature. ,SauravGhm,CHANGES_REQUESTED,2024-01-18T05:30:11Z,
6191,Acknowledging the pull request feature. ,SauravGhm,APPROVED,2024-01-18T15:27:17Z,
6186,chore: remove unnecessary check,zh-lx,APPROVED,2024-01-15T08:20:20Z,
6167,Fixed formDataToJSON prototype pollution vulnerability;,DigitalBrainJS,COMMENTED,2024-01-04T08:31:20Z,
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-02T11:59:04Z,APPROVED
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-02T12:27:06Z,APPROVED
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-02T13:48:51Z,APPROVED
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-02T18:00:28Z,APPROVED
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-03T13:17:10Z,APPROVED
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-03T15:10:53Z,APPROVED
6163,fix security volunerability in follow-redirects,gnesher,APPROVED,2024-01-03T19:12:36Z,APPROVED
6132,fix: Regular Expression Denial of Service (ReDoS),WillianAgostini,COMMENTED,2023-12-14T02:37:13Z,
6132,fix: Regular Expression Denial of Service (ReDoS),WillianAgostini,COMMENTED,2023-12-14T02:42:41Z,
6132,fix: Regular Expression Denial of Service (ReDoS),WillianAgostini,APPROVED,2023-12-15T10:44:06Z,
6132,fix: Regular Expression Denial of Service (ReDoS),WillianAgostini,COMMENTED,2023-12-20T14:17:08Z,
6129,"docs: split long lines, easier for reading",yionr,APPROVED,2023-12-14T03:09:21Z,APPROVED
6129,"docs: split long lines, easier for reading",yionr,APPROVED,2025-01-30T19:38:37Z,APPROVED
6116,chore(docs): Fix documentation for usage of interceptors in axios,zhravan,APPROVED,2025-01-30T19:42:12Z,APPROVED
6059,chore(ci): added labeling and notification for published PRs;,DigitalBrainJS,COMMENTED,2023-11-08T14:07:09Z,
6031,[Release] v1.6.0,github-actions,APPROVED,2023-10-26T20:07:56Z,
6030,Fix typo in index.ts,habipakyol,APPROVED,2025-02-02T14:41:33Z,APPROVED
6030,Fix typo in index.ts,habipakyol,COMMENTED,2025-02-04T18:47:38Z,APPROVED
