number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6631,Create floyd_warshall_algorithm.cpp,Dibyajyoti1515,0,0,0
6627,[Chore] Update sponsor block,github-actions,0,0,0
6621,"fix: #6614, #4680 and more",baraich,0,0,0
6619,chore: remove IE logo; initialise dropping support for IE,jasonsaayman,0,0,0
6617,Update client.html,aayushkrishnaut,1,1,1
6615,fix: update aborted error message for clarity,taylorflatt,1,0,0
6608,fix: ios11 causes syntax error from axios 1.6.7~latest(#6607),Kenzo-Wada,4,0,0
6606,[Chore] Update sponsor block,github-actions,0,0,0
6605,fix(http): allow PUT File in http adapter (#6588),hencoappel,1,0,0
6603,[Chore] Update sponsor block,github-actions,0,0,0
6590,fix(types): add missing types for mergeConfig function,Baoyx007,1,0,1
6585,[Release] v1.7.7,github-actions,0,1,4
6584,fix(fetch): fix stream handling in Safari by fallback to using a stream reader instead of an async iterator;,DigitalBrainJS,0,0,0
6583,[Release] v1.7.6,github-actions,0,0,0
6582,fix(fetch): optimize signals composing logic;,DigitalBrainJS,0,0,0
6576,[Chore] Update sponsor block,github-actions,0,0,0
6575,fix: disable example /get bug. 'require is not defined',kuroino721,2,0,0
6574,[Release] v1.7.5,github-actions,0,0,0
6573,fix(core): add the missed implementation of AxiosError#status property;,DigitalBrainJS,0,1,1
6572,fix(adapter): fix undefined reference to hasBrowserEnv,antoninbas,1,0,0
6567,fix(core): fix `ReferenceError: navigator is not defined` for custom environments;,DigitalBrainJS,0,0,0
6566,chore(actions): fix sponsor action;,DigitalBrainJS,0,0,0
6564,chore(action): exclude `sponsors` branch from CI tests;,DigitalBrainJS,0,0,0
6563,chore(action): change sponsors uri origin;,DigitalBrainJS,0,0,0
6559,[Chore] Update sponsor block,github-actions,0,0,0
6558,[Chore] Update sponsor block,github-actions,0,0,0
6557,chore(action): fix sponsors action;,DigitalBrainJS,0,0,0
6556,chore(action): fix sponsors action;,DigitalBrainJS,0,0,0
6555,chore(action): fix sponsors action;,DigitalBrainJS,0,0,0
6554,chore(action): fix sponsors action;,DigitalBrainJS,0,0,0
6553,chore(deps-dev): bump elliptic from 6.5.4 to 6.5.7,dependabot,5,0,0
6552,chore(actions): Add action to update sponsor list in Readme.md;,DigitalBrainJS,0,0,0
6547,check credentials support for Cloudflare worker in fetch adapter,cungminh2710,1,0,0
6544,[Release] v1.7.4,github-actions,0,0,0
6543,fix(sec): CVE-2024-39338 (#6539),levpachmanov,12,1,3
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,25,1,144
6533,Fix fetch adapter in cloudflare workers,hansottowirtz,1,0,0
6524,fix(adapter): construct Request with a url and options,jacquesg,2,0,0
6522,chore(deps-dev): bump socket.io from 4.5.0 to 4.7.5,dependabot,1,0,0
6521,[Release] v1.7.3,github-actions,0,0,0
6519,Update ISSUE_TEMPLATE.md,DigitalBrainJS,0,0,0
6518,fix(adapter): fixed progress event emitting;,DigitalBrainJS,0,0,0
6515,fix(adapter): return original config on errors from XHR adapter,ValeraS,1,0,0
